nom_en,18_a_24,25_a_34,35_a_44,45_a_54,55_a_64,superieur_a_65
Wrinkle Smoothing Eye Cream,0,1,6,7,14,8
Advanced Super Revitalizing Cream,0,44,77,102,81,71
Uplifting and Firming Cream Enriched,0,6,28,32,27,26
Wrinkle Smoothing Day Cream SPF 23,0,86,124,87,45,31
Clarifying Cleansing Foam (for all skin types),0,61,106,79,73,48
"Treatment Softener Enriched (for normal, dry and very dry skin)",0,11,25,35,17,25
Perfect Cleansing Oil,0,13,19,27,17,12
Energizing Moisturizer,0,7,19,6,6,6
Brightening Gel Cream,0,62,72,80,50,22
Extra Rich Cleansing Foam,0,14,21,26,28,17
Uplifting and Firming Eye Cream,0,4,9,17,11,10
Total Regenerating Cream,0,8,17,27,27,19
Uplifting and Firming Day Cream SPF 30,0,25,49,37,31,6
Overnight Wrinkle Resisting Cream,0,4,21,27,21,16
Eye and Lip Contour Regenerating Cream,0,12,31,65,51,42
Power Infusing Serum,0,34,62,60,52,36
Eudermine Activating Essence,0,4,16,21,14,11
Urban Environment Oil-Free Sunscreen SPF 42,0,19,20,10,14,12
Illuminating Micro-Spot Serum,0,22,33,32,17,10
Skin Filler Serums,0,2,6,6,6,4
Total Protective Cream SPF 20,0,0,5,5,3,7
Concentrated Balancing Softener,0,15,27,37,45,26
NutriPerfect Night Cream,0,1,8,21,23,13
WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,0,6,16,27,14,9
Synchro Skin Radiant Lifting Foundation SPF 30,0,12,24,32,30,40
Ultimune Power Infusing Serum (Men),0,2,5,3,1,0
